d_mag1,d_mag2,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,-0.005,26.414425552776024,3.8015748586911036,13.878022542958844,2.3540277555130484
0.0,-0.0045000000000000005,23.662978807202855,3.3885844327206076,13.138589605060554,2.2157001178466325
0.0,-0.004,20.930296351355963,2.976960739075432,12.16798146101678,2.046525186351059
0.0,-0.0035,18.221597122703628,2.5684804000683426,11.032626710115789,1.8532926758495134
0.0,-0.003,15.533168773982531,2.1640040904798306,9.741504577002612,1.6377429850078389
0.0,-0.0025,12.867669807923278,1.764085054853485,8.292369160558623,1.399788524435881
0.0,-0.002,10.228903016943775,1.3691089691878482,6.681536250330984,1.1392968275362632
0.0,-0.0015,7.620534003899138,0.979313309590952,4.908811056326767,0.8563805006997925
0.0,-0.001,5.044875459641851,0.5982889977147409,2.999971597335575,0.5535405931100755
0.0,-0.0005,2.5039795992813367,0.28402253939699373,1.4336599913426653,0.27164362173489554
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0005,2.46658731708753,0.2617600217575371,1.469724908204313,0.2660257327564642
0.0,0.001,4.894697326092583,0.5058157851851086,2.9779546968289594,0.5288488197766136
0.0,0.0015,7.277994547393604,0.7343848720916357,4.527357882861594,0.7867970391881243
0.0,0.002,9.614735388902979,0.9496148994009626,6.12085857992426,1.0406432722260432
0.0,0.0025,11.905561908361555,1.1534048978897624,7.165473474218416,1.2900271276122957
0.0,0.003,14.147994512373849,1.347230250310068,8.441317001497708,1.528244962354459
0.0,0.0035,16.343896461478458,1.53208685522631,10.010767136537737,1.7581093783477093
0.0,0.004,18.492239655989565,1.7085232464590658,11.613607188764746,1.9827581100097125
0.0,0.0045000000000000005,20.594966794006005,1.877574322281267,13.24611069428147,2.2048520063659236
