theta1x,theta1y,theta1z,theta2x,theta2y,theta2z,delta_q1,delta_q2
0.0,-29.999999999999996,-29.999999999999996,0.0,-29.999999999999996,-29.999999999999996,28.704323478010693,20.932487754303825
0.0,-28.999999999999996,-28.999999999999996,0.0,-28.999999999999996,-28.999999999999996,28.775621491724596,20.297593713018657
0.0,-26.999999999999996,-26.999999999999996,0.0,-26.999999999999996,-26.999999999999996,28.86578044345947,19.025383857534877
0.0,-23.999999999999996,-23.999999999999996,0.0,-23.999999999999996,-23.999999999999996,28.83377397308039,17.108318149492067
0.0,-19.999999999999996,-19.999999999999996,0.0,-19.999999999999996,-19.999999999999996,28.35147744584301,14.524176351923858
0.0,-14.999999999999996,-14.999999999999996,0.0,-14.999999999999996,-14.999999999999996,26.652706424494642,11.208943306456494
0.0,-8.999999999999995,-8.999999999999995,0.0,-8.999999999999995,-8.999999999999995,21.775515238027147,6.994610275107314
0.0,-1.999999999999995,-1.999999999999995,0.0,-1.999999999999995,-1.999999999999995,7.385552083651277,1.5801470858001168
0.0,6.000000000000005,6.000000000000005,0.0,6.000000000000005,6.000000000000005,-24.92853489158934,-3.775269569281371
0.0,15.000000000000005,15.000000000000005,0.0,15.000000000000005,15.000000000000005,-41.55306471027965,-7.815244077985084
0.0,25.000000000000004,25.000000000000004,0.0,25.000000000000004,25.000000000000004,-47.860142477716124,-8.782772216534342
0.0,36.0,36.0,0.0,36.0,36.0,-49.77403992687727,-8.900285866749568
0.0,48.00000000000001,48.00000000000001,0.0,48.00000000000001,48.00000000000001,-49.52046678930254,-8.918620672680708
0.0,61.00000000000001,61.00000000000001,0.0,61.00000000000001,61.00000000000001,-48.46221712613471,-8.784501919299068
0.0,75.00000000000001,75.00000000000001,0.0,75.00000000000001,75.00000000000001,-48.071761473068385,0.3009686586766061
0.0,90.00000000000001,90.00000000000001,0.0,90.00000000000001,90.00000000000001,-46.901470493330265,24.240444022614135
0.0,106.00000000000001,106.00000000000001,0.0,106.00000000000001,106.00000000000001,-44.82592820157404,43.76911104445602
0.0,123.00000000000001,123.00000000000001,0.0,123.00000000000001,123.00000000000001,-44.87059455462118,37.796146488583574
0.0,141.0,141.0,0.0,141.0,141.0,-46.2713437064747,26.60179746034146
0.0,160.00000000000003,160.00000000000003,0.0,160.00000000000003,160.00000000000003,-44.33345305504536,14.156225643426781
0.0,180.00000000000003,180.00000000000003,0.0,180.00000000000003,180.00000000000003,7.156248033292912e-14,-7.951386703658792e-15
0.0,201.00000000000003,201.00000000000003,0.0,201.00000000000003,201.00000000000003,29.796940509585166,-8.658173318529384
0.0,223.00000000000003,223.00000000000003,0.0,223.00000000000003,223.00000000000003,30.911731651017718,-8.87044432109299
0.0,246.00000000000003,246.00000000000003,0.0,246.00000000000003,246.00000000000003,28.213472154202726,-8.659143063721725
0.0,270.0,270.0,0.0,270.0,270.0,26.784011806885097,24.495220641648352
0.0,295.0,295.0,0.0,295.0,295.0,24.666066107800336,41.78811284878859
0.0,321.00000000000006,321.00000000000006,0.0,321.00000000000006,321.00000000000006,27.59551639326772,26.621894477698078
0.0,348.00000000000006,348.00000000000006,0.0,348.00000000000006,348.00000000000006,24.731215177289414,9.14368292018351
0.0,376.0,376.0,0.0,376.0,376.0,-42.45837117954764,-8.245190984121324
0.0,405.00000000000006,405.00000000000006,0.0,405.00000000000006,405.00000000000006,-49.69668830827395,-8.926330187209642
0.0,435.00000000000006,435.00000000000006,0.0,435.00000000000006,435.00000000000006,-48.07176147306838,0.30096865867665223
0.0,466.0,466.0,0.0,466.0,466.0,-44.82592820157404,43.76911104445602
0.0,498.00000000000006,498.00000000000006,0.0,498.00000000000006,498.00000000000006,-46.047536259211014,28.521780647529937
0.0,531.0,531.0,0.0,531.0,531.0,-32.65006418946089,6.321608732284187
0.0,565.0000000000001,565.0000000000001,0.0,565.0000000000001,565.0000000000001,30.82965640750618,-8.71866143167975
0.0,600.0,600.0,0.0,600.0,600.0,28.88224825035254,-8.761834575338375
0.0,636.0,636.0,0.0,636.0,636.0,25.860811232906702,33.600122274361574
0.0,673.0000000000001,673.0000000000001,0.0,673.0000000000001,673.0000000000001,26.395166320473834,31.621065714330705
0.0,711.0,711.0,0.0,711.0,711.0,21.775515238027115,6.994610275107298
0.0,750.0000000000001,750.0000000000001,0.0,750.0000000000001,750.0000000000001,-49.13950988637222,-8.846454734345857
0.0,790.0,790.0,0.0,790.0,790.0,-47.97355097490967,-6.33641913475441
0.0,831.0,831.0,0.0,831.0,831.0,-44.608906797822705,43.61168933996627
0.0,873.0,873.0,0.0,873.0,873.0,-46.20219607094584,18.817301666204813
0.0,916.0,916.0,0.0,916.0,916.0,27.989740458000114,-6.838756477137509
0.0,959.9999999999999,959.9999999999999,0.0,959.9999999999999,959.9999999999999,28.882248250352553,-8.761834575338375
0.0,1005.0,1005.0,0.0,1005.0,1005.0,24.816053051644925,42.91926740025034
0.0,1051.0,1051.0,0.0,1051.0,1051.0,28.77562149172463,20.2975937130187
0.0,1098.0,1098.0,0.0,1098.0,1098.0,-44.085707846292365,-8.668036518759733
0.0,1146.0,1146.0,0.0,1146.0,1146.0,-48.04979503940673,-8.691047923349592
0.0,1195.0,1195.0,0.0,1195.0,1195.0,-44.58988129270032,42.08240623662384
0.0,1245.0,1245.0,0.0,1245.0,1245.0,-41.06431094793266,10.70204929634277
0.0,1296.0,1296.0,0.0,1296.0,1296.0,31.431104174048627,-8.838824286867904
0.0,1348.0,1348.0,0.0,1348.0,1348.0,27.075272310330153,21.317955085796097
0.0,1401.0,1401.0,0.0,1401.0,1401.0,27.595516393267705,26.621894477698135
0.0,1455.0,1455.0,0.0,1455.0,1455.0,-41.553064710279685,-7.81524407798509
0.0,1510.0000000000002,1510.0000000000002,0.0,1510.0000000000002,1510.0000000000002,-47.97355097490967,-6.336419134754317
0.0,1566.0,1566.0,0.0,1566.0,1566.0,-45.062276189863745,36.01296636591822
0.0,1623.0,1623.0,0.0,1623.0,1623.0,10.44535459063647,-1.4569813575872193
0.0,1681.0,1681.0,0.0,1681.0,1681.0,28.764913128480732,-8.74692222016642
0.0,1740.0,1740.0,0.0,1740.0,1740.0,24.932154857069314,39.2953145591024
0.0,1800.0,1800.0,0.0,1800.0,1800.0,2.9102075335391177e-13,5.406942958487979e-14
