std_dev[A],dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,0.0,0.0,0.0,0.0
0.5,0.6191886327896379,0.17748439557091356,1.2146906617545863,0.18554755867304554
1.0,1.7872444665291045,0.46966458165093494,1.7065756097562002,0.21175096132822982
1.5,2.0903420147639267,0.4758412724397276,3.369062670557497,0.45508762361567906
2.0,3.1383414292755774,0.6540650228381861,5.942382285590085,1.0339603910018274
2.5,3.673115440064045,0.7884779248477068,4.034281368320933,0.634857796579669
3.0,4.709986797399736,1.0574757624698423,7.497767318365021,0.6984545876449189
3.5,6.601976323379951,1.465451082195648,7.559266109392123,1.24934176067873
4.0,6.699621464643936,1.5188051789614603,3.276480596153327,0.5558995345820836
4.5,6.024302371402136,1.313207143495276,20.2823483251455,1.4128955936748868
5.0,8.382623679041071,1.775910969944237,8.819080629666548,1.2441443320013534
5.5,9.218489819843015,2.001917943667608,7.60536294232238,0.9985537805623685
6.0,8.110416293158156,2.023788544617938,12.099329262685403,1.8488407522987897
6.5,12.360929682646425,2.6264924389176394,11.005645618249076,2.2287215889501577
7.0,9.651023649918688,2.3279558792120936,19.941221181178648,2.539258439205312
7.5,13.552420351265951,3.083439202439745,15.338200986024567,2.6496537200712607
8.0,15.12973930937417,2.9544937620697382,15.87988010477995,2.540545029018318
8.5,13.045612400142218,3.0210956063383114,21.133142579776738,3.327928752809069
9.0,12.896382869653198,2.8511856832861646,10.085872951603552,1.811497601344334
9.5,15.916972658569376,3.4836690672467583,17.454076012776646,3.5003974572577756
10.0,15.575609703764549,4.062618586196521,12.496742567321114,2.193101516287038
10.5,18.87585525701693,4.479265197845489,42.714844383152865,6.961194736012537
