dx1,dy1,dz1,dx2,dy2,dz2,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,-5.0,0.0,0.0,0.0,0.0,0.00015538450078622645,3.318713976969791e-05,4.232101507284369e-05,5.441541708523487e-06
0.0,-4.9,0.0,0.0,0.0,0.0,0.00015227681593898978,3.252339742607258e-05,4.147459438286205e-05,5.332710925329391e-06
0.0,-4.800000000000001,0.0,0.0,0.0,0.0,0.00014916913088569572,3.185965506539134e-05,4.062817347971759e-05,5.223880134654574e-06
0.0,-4.700000000000001,0.0,0.0,0.0,0.0,0.00014606144560502798,3.119591268742728e-05,3.978175274710338e-05,5.115049346423407e-06
0.0,-4.600000000000001,0.0,0.0,0.0,0.0,0.00014295376011830285,3.053217029081929e-05,3.893533197185661e-05,5.0062185563823985e-06
0.0,-4.500000000000002,0.0,0.0,0.0,0.0,0.0001398460744184149,2.9868427875379627e-05,3.808891115397728e-05,4.897387761577786e-06
0.0,-4.400000000000002,0.0,0.0,0.0,0.0,0.00013673838850536413,2.9204685442015643e-05,3.724249040715222e-05,4.788556963161951e-06
0.0,-4.3000000000000025,0.0,0.0,0.0,0.0,0.00013363070238625596,2.8540942987261953e-05,3.639606966032716e-05,4.6797261653289065e-06
0.0,-4.200000000000003,0.0,0.0,0.0,0.0,0.0001305230160610904,2.787720051420826e-05,3.554964887086953e-05,4.570895362922705e-06
0.0,-4.100000000000003,0.0,0.0,0.0,0.0,0.00012741532952276202,2.721345802549988e-05,3.4703228280363874e-05,4.462064561528905e-06
0.0,-4.0000000000000036,0.0,0.0,0.0,0.0,0.0001243076427925871,2.6549715518725164e-05,3.3856807448273685e-05,4.35323375408265e-06
0.0,-3.900000000000004,0.0,0.0,0.0,0.0,0.00012119995582793308,2.5885972990111733e-05,3.3010386914611445e-05,4.244402948740885e-06
0.0,-3.8000000000000043,0.0,0.0,0.0,0.0,0.00011809226865722167,2.5222230444050185e-05,3.2163966352527495e-05,4.135572142361429e-06
0.0,-3.7000000000000046,0.0,0.0,0.0,0.0,0.000114984581266242,2.455848787993743e-05,3.131754556306987e-05,4.026741327561492e-06
0.0,-3.600000000000005,0.0,0.0,0.0,0.0,0.00011187689369052123,2.3894745298006208e-05,3.0471125043618486e-05,3.9179105185250245e-06
0.0,-3.5000000000000053,0.0,0.0,0.0,0.0,0.00010876920588032135,2.3231002699011514e-05,2.9624704751540776e-05,3.8090797095969563e-06
0.0,-3.4000000000000057,0.0,0.0,0.0,0.0,0.00010566151785695865,2.2567260078493127e-05,2.8778284175245972e-05,3.7002488927308896e-06
0.0,-3.300000000000006,0.0,0.0,0.0,0.0,0.00010255382964174942,2.1903517438980715e-05,2.7931863499475185e-05,3.59141807187451e-06
0.0,-3.2000000000000064,0.0,0.0,0.0,0.0,9.944614121337736e-05,2.123977478423347e-05,2.7085443065288928e-05,3.4825872542687793e-06
0.0,-3.1000000000000068,0.0,0.0,0.0,0.0,9.633845255763163e-05,2.0576032109790745e-05,2.623902250320498e-05,3.373756428571386e-06
0.0,-3.000000000000007,0.0,0.0,0.0,0.0,9.323076371714478e-05,1.9912289416773318e-05,2.5392602026386157e-05,3.2649256052248266e-06
0.0,-2.9000000000000075,0.0,0.0,0.0,0.0,9.012307462086255e-05,1.9248546702918917e-05,2.4546181506934772e-05,3.1560947761154775e-06
