dx1,dy1,dz1,dx2,dy2,dz2,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,0.0,0.0,0.0,0.0,-5.0,0.6646951332382756,0.2522018459527478,0.3031399196186868,0.016554823053334448
0.0,0.0,0.0,0.0,0.0,-4.9,0.6513054669012739,0.24716358479919096,0.29704258948835616,0.01622407793443545
0.0,0.0,0.0,0.0,0.0,-4.800000000000001,0.6379197043582394,0.24212494611096663,0.29094666565414684,0.01589331431313929
0.0,0.0,0.0,0.0,0.0,-4.700000000000001,0.6245378459480087,0.2370859291600322,0.2848521483239068,0.015562532193763889
0.0,0.0,0.0,0.0,0.0,-4.600000000000001,0.6111598920067749,0.2320465332181797,0.2787590377043472,0.015231731580637469
0.0,0.0,0.0,0.0,0.0,-4.500000000000002,0.5977858428680811,0.22700675755703864,0.27266733400155374,0.014900912478121904
0.0,0.0,0.0,0.0,0.0,-4.400000000000002,0.5844156988627951,0.22196660144807784,0.26657703742047545,0.014570074890587233
0.0,0.0,0.0,0.0,0.0,-4.3000000000000025,0.5710494603191592,0.2169260641626136,0.2604881481654644,0.014239218822442345
0.0,0.0,0.0,0.0,0.0,-4.200000000000003,0.5576871275627866,0.21188514497179925,0.25440066643994896,0.013908344278101668
0.0,0.0,0.0,0.0,0.0,-4.100000000000003,0.5443287009166227,0.20684384314663798,0.24831459244646226,0.013577451262011393
0.0,0.0,0.0,0.0,0.0,-4.0000000000000036,0.5309741807010298,0.20180215795796733,0.24222992638661367,0.013246539778628883
0.0,0.0,0.0,0.0,0.0,-3.900000000000004,0.5176235672336418,0.1967600886764802,0.23614666846120258,0.012915609832438802
0.0,0.0,0.0,0.0,0.0,-3.8000000000000043,0.5042768608295418,0.19171763457271412,0.2300648188704031,0.012584661427949248
0.0,0.0,0.0,0.0,0.0,-3.7000000000000046,0.49093406180116617,0.18667479491704878,0.22398437781291136,0.01225369456969539
0.0,0.0,0.0,0.0,0.0,-3.600000000000005,0.47759517045832567,0.1816315689797226,0.217905345487452,0.01192270926221321
