theta1x,theta1y,theta1z,theta2x,theta2y,theta2z,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,-20.0,0.0,0.0,0.0,0.0,160.88295564806452,25.181633177736472,14.072774858104806,2.256427179968764
0.0,-19.0,0.0,0.0,0.0,0.0,160.86202933962477,24.72068779107757,14.080906578333897,2.242165705085781
0.0,-18.0,0.0,0.0,0.0,0.0,160.83917495187194,24.229277527572172,14.089402080197697,2.2293632610333214
0.0,-17.0,0.0,0.0,0.0,0.0,160.81435149060866,23.69758007274041,14.098956666429142,2.2183034459521713
0.0,-16.0,0.0,0.0,0.0,0.0,160.78747359280874,23.11141547213283,14.110298601485999,2.209350467883483
0.0,-15.0,0.0,0.0,0.0,0.0,160.75834527334956,22.448047175899262,14.124816585375571,2.2029691039343495
0.0,-14.0,0.0,0.0,0.0,0.0,160.62007196550957,21.667460081821623,14.147750461084803,2.2001128103790735
0.0,-13.0,0.0,0.0,0.0,0.0,157.71578407151728,20.577553834784734,14.209768156570854,2.1981701253248485
0.0,-12.0,0.0,0.0,0.0,0.0,147.50287415816,18.8032094017176,14.318204548969572,2.1783932903395886
0.0,-11.0,0.0,0.0,0.0,0.0,126.84289395749161,15.938326556163073,14.319396947739266,2.1024882845541217
0.0,-10.0,0.0,0.0,0.0,0.0,89.24957485278368,11.575706991299846,13.566491744076304,1.8842748681526909
0.0,-9.0,0.0,0.0,0.0,0.0,65.07432564770488,7.7473429456621155,11.415481157537316,1.5544503582250135
0.0,-8.0,0.0,0.0,0.0,0.0,50.20380270279111,5.438868245235666,8.770157198857824,1.2135254928445043
0.0,-7.0,0.0,0.0,0.0,0.0,39.22871266746833,4.043806644867203,6.507865258205977,0.9134884664798207
0.0,-6.0,0.0,0.0,0.0,0.0,30.5111418103448,3.0938661366332654,4.706951778547943,0.6580119070578883
0.0,-5.0,0.0,0.0,0.0,0.0,23.320225029803296,2.3853342628918117,3.3184447408617777,0.45810349041446874
0.0,-4.0,0.0,0.0,0.0,0.0,17.249466677807092,1.7728453256173973,2.3942924816226823,0.3243492469459037
0.0,-3.0,0.0,0.0,0.0,0.0,12.036088632686322,1.250110620782983,1.634009562390104,0.21842073126392172
0.0,-2.0,0.0,0.0,0.0,0.0,7.503223176937475,0.7903801745842066,0.9985350181467254,0.13211159563002736
0.0,-1.0,0.0,0.0,0.0,0.0,3.523278180119469,0.37743640376571813,0.45965785997952047,0.060437375139490476
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,3.1383550577076207,0.349179316419466,0.3907305597627806,0.05168901741880897
0.0,2.0,0.0,0.0,0.0,0.0,5.948409390903635,0.675609922269292,0.7220581046590295,0.09638049161389757
0.0,3.0,0.0,0.0,0.0,0.0,8.478428539508862,0.9830509070477428,1.0034502852494667,0.13531751640808998
0.0,4.0,0.0,0.0,0.0,0.0,10.764913053735171,1.2744617816664194,1.2419162252153688,0.16965761227876763
0.0,5.0,0.0,0.0,0.0,0.0,12.836374314871833,1.5521428116096088,1.4414370991120533,0.20054104392572694
0.0,6.0,0.0,0.0,0.0,0.0,14.711125478477015,1.8175405237999351,1.6287183961944294,0.22874947872777207
0.0,7.0,0.0,0.0,0.0,0.0,16.42528300737365,2.071981015904868,1.9635297120882171,0.2551086848198286
0.0,8.0,0.0,0.0,0.0,0.0,17.98953131276761,2.3162940184697858,2.323195932047625,0.28031863297363624
0.0,9.0,0.0,0.0,0.0,0.0,19.419639388928488,2.5539404242390735,2.69934068768805,0.30476004316737365
0.0,10.0,0.0,0.0,0.0,0.0,20.72934663856408,2.7884299213961787,3.0948037144450637,0.329044056855802
0.0,11.0,0.0,0.0,0.0,0.0,21.925727805601763,3.026234324290218,3.524999636359979,0.35628844190845593
0.0,12.0,0.0,0.0,0.0,0.0,23.02799887130318,3.2684429025563353,3.9855301640149605,0.3931403956231775
0.0,13.0,0.0,0.0,0.0,0.0,24.03836248840153,3.5061996673084685,4.445718989015887,0.4355832753449728
0.0,14.0,0.0,0.0,0.0,0.0,24.96141367983073,3.7399048852130186,4.904200234655164,0.4804137385184995
0.0,15.0,0.0,0.0,0.0,0.0,25.8133864401054,3.966190821092342,5.359882731682788,0.52701257387597
0.0,16.0,0.0,0.0,0.0,0.0,26.59564177061235,4.185578849341338,5.811971559404796,0.575073978010594
0.0,17.0,0.0,0.0,0.0,0.0,27.311416367375585,4.40234404089906,6.2598582860997425,0.6246181967106342
0.0,18.0,0.0,0.0,0.0,0.0,27.96522019162802,4.616558822896589,6.703095321660669,0.6753870646316343
0.0,19.0,0.0,0.0,0.0,0.0,28.562290221817996,4.828271218234229,7.141402824709687,0.7273244916418552
