d_mag1,d_mag2,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
-0.005,0.0,26.325188584822342,5.9829817713389,8.805917763874707,1.4755660351060178
-0.0045000000000000005,0.0,23.56819777346469,5.328505638157758,8.180797972667417,1.3631572519313109
-0.004,0.0,20.829381553854127,4.682145463605794,7.48755131315678,1.2420823055085828
-0.0035,0.0,18.11467227284156,4.04452866230796,6.720098594414122,1.1116114551777627
-0.003,0.0,15.425385372146671,3.4159949459233068,5.871951296905472,0.9708512804132418
-0.0025,0.0,12.765107785626746,2.796613747629551,4.936210641978109,0.8187713592932502
-0.002,0.0,10.13798737940973,2.186550036397968,3.9055629790567714,0.6542843666516477
-0.0015,0.0,7.54654857024974,1.5863867641361964,2.7725271277337704,0.47629026555352183
-0.001,0.0,4.991471398947489,1.0028425823714024,1.5752334241568917,0.2882764436089002
-0.0005,0.0,2.4754265995859868,0.4857583303373249,0.7720921519591002,0.1354809484607944
0.0,0.0,0.0,0.0,0.0,0.0
0.0005,0.0,2.4335612341775743,0.4621217241638635,0.7413933074095951,0.12357858558242803
0.001,0.0,4.8246991084403135,0.9050870581562306,1.4755299515590679,0.23846795022150125
0.0015,0.0,7.172476006446068,1.3318121735524246,2.161216769870279,0.34649075513146665
0.002,0.0,9.476500107144254,1.7442583750919425,2.8065517854426645,0.4491918436336052
0.0025,0.0,11.736353504551026,2.1442576378523017,3.4345886006372837,0.5472706941853318
0.003,0.0,13.95097146053292,2.533225515121599,4.043232758584878,0.6416044439475407
0.0035,0.0,16.12214892900125,2.9123563290511063,4.643219974820326,0.7323923063677553
0.004,0.0,18.249571608427274,3.282236488582638,5.242547674798502,0.8203454062374373
0.0045000000000000005,0.0,20.333401715084044,3.643826193981127,5.868041715844626,0.9056365245962801
