dx1,dy1,dz1,dx2,dy2,dz2,dq1_max[deg],dq1_mean[deg],dq2_max[deg],dq2_mean[deg]
0.0,0.0,0.0,-5.0,0.0,0.0,0.5903539870754919,0.18168060936882158,2.4637109695446155,0.4913887193542785
0.0,0.0,0.0,-4.9,0.0,0.0,0.5787014385668598,0.1782274796111444,2.4144632396023247,0.4815762590929078
0.0,0.0,0.0,-4.800000000000001,0.0,0.0,0.5670423783663132,0.17476827500567274,2.3651877792186795,0.4717605680658931
0.0,0.0,0.0,-4.700000000000001,0.0,0.0,0.5553784744756065,0.17130241845741018,2.3158848377252452,0.4619417256115041
0.0,0.0,0.0,-4.600000000000001,0.0,0.0,0.54371916851359,0.1678302765938238,2.266554665293321,0.4521197600662302
0.0,0.0,0.0,-4.500000000000002,0.0,0.0,0.5320529050994622,0.16435015441432022,2.2171975129284758,0.4422946999370574
0.0,0.0,0.0,-4.400000000000002,0.0,0.0,0.5203797217250852,0.16086206006392356,2.1678136324650468,0.43246657390103266
0.0,0.0,0.0,-4.3000000000000025,0.0,0.0,0.5086996561388517,0.15736775590711638,2.1184032765605827,0.42263575857529573
0.0,0.0,0.0,-4.200000000000003,0.0,0.0,0.4970127463455789,0.15386627856025975,2.0689792934447837,0.4128020567448164
0.0,0.0,0.0,-4.100000000000003,0.0,0.0,0.4853190306062025,0.1503567293761653,2.019546750122493,0.40296537607985966
0.0,0.0,0.0,-4.0000000000000036,0.0,0.0,0.47361854743757803,0.1468398719001453,1.9700880395914289,0.39312574593326344
0.0,0.0,0.0,-3.900000000000004,0.0,0.0,0.4619113356121858,0.1433165031434271,1.9206034170117068,0.3832831958256093
0.0,0.0,0.0,-3.8000000000000043,0.0,0.0,0.4501974341578254,0.13978496442294502,1.8710931383560094,0.37343775544473873
0.0,0.0,0.0,-3.7000000000000046,0.0,0.0,0.4384768823573033,0.1362452644445779,1.821557460403803,0.3635894546452472
0.0,0.0,0.0,-3.600000000000005,0.0,0.0,0.42674971974807363,0.13269894147564465,1.7719966407354968,0.35373832344791667
0.0,0.0,0.0,-3.5000000000000053,0.0,0.0,0.41501962756234434,0.1291449389205177,1.7224109377265528,0.3438843920392211
0.0,0.0,0.0,-3.4000000000000057,0.0,0.0,0.40328641677072596,0.12558267865763004,1.6728006105415423,0.33402769077072636
0.0,0.0,0.0,-3.300000000000006,0.0,0.0,0.39154629343835623,0.12201216973009163,1.6231659191281573,0.3241682501585718
0.0,0.0,0.0,-3.2000000000000064,0.0,0.0,0.3797992983765397,0.11843342131079265,1.5735071242111567,0.3143061008828333
0.0,0.0,0.0,-3.1000000000000068,0.0,0.0,0.36804547265492715,0.11484644270232076,1.5238244872862712,0.30444127378695035
0.0,0.0,0.0,-3.000000000000007,0.0,0.0,0.3562848576009685,0.11125124443618861,1.4741182706140528,0.2945738129867973
0.0,0.0,0.0,-2.9000000000000075,0.0,0.0,0.34451749479943317,0.10764785909217524,1.4243887372136679,0.2847040245273454
0.0,0.0,0.0,-2.800000000000008,0.0,0.0,0.3327434260918203,0.10403663906884805,1.3746469204384122,0.2748326227615253
0.0,0.0,0.0,-2.700000000000008,0.0,0.0,0.3209626935758436,0.10041736485406856,1.3249089011802855,0.26495934997630566
